301.919,119.361,108.89,65.046
288.483,151.867,117.833,43.399
255.531,164.81,139.821,34.541
221.561,149.484,162.056,43.681
204.947,115.368,171.461,65.575
216.957,85.215,162.452,87.39
252.548,73.438,140.354,96.215
287.628,86.862,118.191,86.911
347.489,119.083,77.553,64.576
320.427,184.172,95.356,21.476
256.033,211.526,139.192,3.777
190.475,181.876,183.71,21.91
157.397,109.886,202.669,65.685
178.506,54.209,184.615,109.419
253.11,28.965,140.327,126.97
321.164,54.297,96.06,108.209
390.003,118.061,46.252,63.978
349.714,214.671,72.83,-0.352
255.102,256.945,138.285,-26.877
158.88,215.831,205.069,0.134
113.888,104.213,233.724,65.715
142.428,25.802,206.629,131.39
255.002,-16.983,140.101,157.519
353.027,21.418,73.815,129.218
429.487,116.606,15.068,63.271
376.586,243.241,50.326,-22.034
253.007,300.143,137.116,-57.356
126.11,249.668,226.035,-21.616
83.39,115.306,264.497,65.666
133.662,2.073,228.401,153.207
256.225,-64.189,139.636,187.763
382.573,-10.904,51.503,149.902
466.048,114.881,-15.895,62.472
401.223,269.88,27.932,-43.504
250.091,340.798,135.709,-87.596
92.946,281.876,246.55,-43.314
31.94,118.255,294.834,65.527
97.674,-37.206,249.821,174.772
255.998,-110.92,138.899,217.63
409.748,-42.13,29.184,170.234
499.734,112.969,-46.556,61.594
423.717,294.584,5.7,-64.721
246.599,378.818,134.094,-117.517
60.265,311.849,266.579,-64.921
-18.081,119.505,324.616,65.258
62.706,-73.951,270.772,196.011
254.437,-155.887,137.882,247.073
434.636,-71.978,6.937,190.176
530.599,110.921,-76.82,60.649
444.131,317.36,-16.3,-85.63
242.672,414.153,132.29,-147.053
28.593,339.54,286.104,-86.379
-65.912,119.474,353.79,64.837
28.605,-108.225,291.195,216.895
251.899,-198.569,136.607,276.049
457.314,-100.29,-15.166,209.695